cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Average Adjusted cost of energy per GJ,Year Zero Emissions Reached,Average Percent Energy Change
7_162,"['5_151', '6_95']",3,1.3136241326626343,15.0816,25.231005263157897,2100.0,0.015641217844940457
7_2,"['6_123', '6_80']",3,1.2276545142281414,65.6406,22.28517894736842,2100.0,0.010178800855978722
7_13,"['6_40', '6_23']",3,0.22258507648962125,7.0413,28.414173684210525,2100.0,0.01762096386273257
7_174,"['6_57', '5_105']",3,0.1710000611548781,10.7242,25.45923421052632,2100.0,0.01617855646602037
7_36,"['6_47', '6_9']",3,0.1555333089194357,2.39763,27.10129605263158,2100.0,0.017836869189697
7_125,"['5_32', '5_10']",3,0.15079843265011453,8.79334,25.999180263157893,2100.0,0.01673845402152907
7_12,"['6_95', '6_68']",3,0.10631250988201238,1.5208,25.864627631578944,2100.0,0.01798182867060396
7_112,"['6_9', '6_131']",3,0.09589868592304951,7.13381,26.37608552631579,2100.0,0.016503625361882573
7_38,"['6_172', '6_141']",4,inf,17.1934,25.375680263157896,2100.0,0.01581836337472702
7_68,"['6_23', '3_98']",4,inf,4.89307,26.314471052631585,2100.0,0.020454024093153486
7_153,"['6_36', '6_123']",4,inf,20.9695,28.574453947368422,2100.0,0.01565364711176718
7_167,"['4_36', '5_151']",4,inf,3.21488,28.180913157894725,2100.0,0.019675893016839006
7_144,"['6_141', '6_62']",4,0.6891946127745487,13.2158,25.980781578947372,2100.0,0.017039614815079505
7_87,"['5_74', '6_26']",4,0.6779300432275226,3.38271,27.54234078947368,2100.0,0.018126176929940563
7_117,"['5_34', '6_68']",4,0.5889252170224163,8.55455,26.61094605263158,2100.0,0.016617149803057386
7_143,"['6_84', '5_151']",4,0.43761368708927445,5.82948,26.337503947368422,2100.0,0.01884061739947254
7_97,"['5_32', '6_141']",4,0.3942548034310489,15.1583,25.70743552631579,2100.0,0.016447816071052664
7_172,"['4_156', '6_84']",4,0.39126046690123323,7.68372,27.239840789473682,2100.0,0.018774617806117517
7_133,"['4_36', '6_141']",4,0.3085016576301083,11.5427,27.470855263157894,2100.0,0.01652975875821057
7_164,"['5_74', '5_151']",4,0.30790962883123274,11.8725,27.18633947368421,2100.0,0.0164872705753474
7_139,"['6_62', '6_141']",4,0.25265014503057254,15.8401,25.638190789473686,2100.0,0.015697606488036003
7_45,"['6_36', '5_151']",5,inf,20.1502,25.473618421052628,2100.0,0.01584078098187139
7_101,"['0_3', '6_141']",5,inf,5.51418,28.72691710526316,2100.0,0.01965742939003654
7_114,"['6_84', '4_156']",5,inf,16.3102,28.960236842105257,2100.0,0.01700896678526368
7_34,"['4_156', '0_3']",5,1.5305710997526911,15.5079,26.79104342105263,2100.0,0.017443547800649686
7_108,"['6_36', '6_131']",5,1.351910923671302,11.2901,27.52025526315789,2100.0,0.01736523740778946
7_65,"['6_49', '6_5']",6,inf,20.9203,26.230759210526315,2100.0,0.016487231591269507
7_93,"['6_123', '3_98']",6,inf,17.4337,33.685213157894744,2100.0,0.017271201365579903
7_132,"['6_84', '6_123']",6,inf,11.3327,29.38298157894737,2100.0,0.018115338837121665
7_161,"['6_16', '6_123']",6,inf,20.9476,32.78248157894737,2100.0,0.016074914879535544
7_159,"['6_16', '0_4']",6,1.2028798217617769,20.2297,30.61980000000001,2100.0,0.016515849263107098
